# util_output: detail

# resource	operation	var	loadBucket	startBucket	bktLength	rate	load
1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T006	2017-07-16	2017-07-16	 16	 2000	 1278000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	54400908_1352_M-at-1352-187252	OP377317T006	2017-07-16	2017-07-16	 16	 2000	 66000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T007	2017-08-01	2017-08-01	 15	 2000	 1072000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	54400908_1352_M-at-1352-187252	OP377317T007	2017-08-01	2017-08-01	 15	 2000	 58000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	00790908_1352_M-at-1352-187248	OP315325T008	2017-08-16	2017-08-16	 16	 2000	 1008000
1352_1352_ATTCAP-x-1352_1352_ATTCAP	54400908_1352_M-at-1352-187252	OP377317T008	2017-08-16	2017-08-16	 16	 2000	 58000

1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T001	2017-05-01	2017-05-01	 15	 2000	 1040000
1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T002	2017-05-16	2017-05-16	 16	 2000	 1120000
1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T003	2017-06-01	2017-06-01	 15	 2000	 500000
1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T004	2017-06-16	2017-06-16	 15	 2000	 500000
1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T005	2017-07-01	2017-07-01	 15	 2000	 500000
1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T006	2017-07-16	2017-07-16	 16	 2000	 500000
1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T007	2017-08-01	2017-08-01	 15	 2000	 480000
1354_CAP-x-1354_CAP	00790908_1354_M-at-1354-187262	OP658187T008	2017-08-16	2017-08-16	 16	 2000	 520000

1365_G79-x-1365_G79	00790908_1365_M-at-1365-187953	OP032548T001	2017-05-01	2017-05-01	 15	 0.2285714	 145.14283752
1365_G79-x-1365_G79	00790908_1365_M-at-1365-187953	OP032548T002	2017-05-16	2017-05-16	 16	 0.2285714	 304.91424561
1365_G79-x-1365_G79	00790908_1365_M-at-1365-187953	OP032548T003	2017-06-01	2017-06-01	 15	 0.2285714	 111.99998474
1365_G79-x-1365_G79	54400908_1365_M-at-1365-187959	OP093074T003	2017-06-01	2017-06-01	 15	 0.2285714	 187.88569641
1365_G79-x-1365_G79	00790908_1365_M-at-1365-187953	OP032548T004	2017-06-16	2017-06-16	 15	 0.2285714	 253.71424866
1365_G79-x-1365_G79	54400908_1365_M-at-1365-187959	OP093074T004	2017-06-16	2017-06-16	 15	 0.2285714	 38.17142487
1365_G79-x-1365_G79	00790908_1365_M-at-1365-187953	OP032548T005	2017-07-01	2017-07-01	 15	 0.2285714	 251.42854309
1365_G79-x-1365_G79	54400908_1365_M-at-1365-187959	OP093074T005	2017-07-01	2017-07-01	 15	 0.2285714	 39.99999619
1365_G79-x-1365_G79	00790908_1365_M-at-1365-187953	OP032548T006	2017-07-16	2017-07-16	 16	 0.2285714	 288.68566895
